id,name,applicability
__export__.account_account_tag_104509,104 509,taxes
__export__.account_account_tag_104500,104 500,taxes
__export__.account_account_tag_104501,104 501,taxes
__export__.account_account_tag_104502,104 502,taxes
__export__.account_account_tag_104503,104 503,taxes
__export__.account_account_tag_104504,104 504,taxes
__export__.account_account_tag_104505,104 505,taxes
__export__.account_account_tag_104506,104 506,taxes
__export__.account_account_tag_104507,104 507,taxes
__export__.account_account_tag_104508,104 508,taxes
__export__.account_account_tag_104531,104 531,taxes
__export__.account_account_tag_104532,104 532,taxes
